Country Name,Country Code,Series Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Antigua and Barbuda,ATG,Taxrevenue,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,ControlCorruption,0.326792687,0.310727566,0.231868863,0.239038527,0.239614844,0.236501798,0.197911337,0.645367682,0.64260906,0.634795427,1.253580928,1.260530829,1.272298098,1.301772714,1.317764997,1.27677536,1.146967053,1.11961627,0.742446184,0.839856029,0.854120076,0.850210369,..,0.861537576
Antigua and Barbuda,ATG,CPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,GDP,6.46075E+11,6.3279E+11,4.86564E+11,3.85741E+11,4.47755E+11,5.2482E+11,6.43628E+11,5.57532E+11,5.94749E+11,5.2632E+11,5.52025E+11,5.45982E+11,5.30158E+11,4.23627E+11,3.32976E+11,3.61558E+11,2.87531E+11,2.32557E+11,1.98737E+11,1.64658E+11,1.27587E+11,97724004252,2.68697E+11,2.84204E+11
Argentina,ARG,FDI,3.69401868,2.402155349,1.368380832,1.266169243,1.485006876,2.232531577,1.789365041,0.584748941,1.977134618,0.96240665,1.779205536,2.8066719,2.044659979,2.675161719,1.206439226,2.689900965,2.251294236,2.381068545,2.649354415,2.505017516,1.294810869,2.198958195,0.806164135,3.665790595
Argentina,ARG,GDPgr,-1.611001621,5.269879674,10.44181199,-9.900484814,-2.000861003,-2.617396463,2.818502978,-2.080327844,2.731159828,-2.512615321,2.405323781,-1.026420454,6.003951693,10.12539816,-5.918525076,4.057233103,9.007650875,8.0471515,8.85165992,9.029573301,8.837040796,-10.89448483,-4.408839683,-0.788998939
Argentina,ARG,Oilrents,..,..,1.544382289,0.677055566,1.290995655,1.310953407,0.663565866,0.549552012,0.693912055,2.092705651,2.253872986,2.556498724,2.745331465,2.30522042,2.124534881,4.039000966,3.70577772,4.490890647,4.360830444,3.628150456,3.795263575,4.588011023,1.578289617,2.039212319
Argentina,ARG,Taxrevenue,9.980936481,11.08581809,11.34107403,10.70812114,10.39199734,9.79144712,10.93962386,12.09728364,12.33650694,12.61096661,12.45290276,12.95284151,12.6636277,12.85304269,12.38304156,13.31784636,12.44826845,12.8788867,13.10317565,13.1007799,12.5187797,9.818958347,9.324898794,9.622603502
Argentina,ARG,ControlCorruption,-0.360883951,-0.447221607,-0.422596842,-0.163570061,-0.107116245,-0.099273928,-0.309002459,-0.299235553,-0.581265271,-0.549791396,-0.434306711,-0.445909202,-0.364098519,-0.355230033,-0.445475101,-0.434875011,-0.372122079,-0.331238538,-0.377738357,-0.414409548,-0.479976803,-0.417055726,..,-0.172407657
Argentina,ARG,CPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,GDP,24085749592,19513506553,13878908629,12641698583,13619290539,12457940695,11527458709,10546136236,10553337518,11609513247,11121464437,10619320683,10142111825,9260285756,8647937081,11662040714,9206301270,6384452067,4900469511,3576615240,2807061009,2376335048,2118467913,1911563669
Armenia,ARM,FDI,2.409578645,4.999915861,2.640302812,0.463408851,0.736361517,2.142047834,2.192573377,3.165367278,1.744737018,3.502114155,3.111931854,4.676727598,6.440668056,5.716037341,8.788694214,8.092349209,7.252332316,7.307314505,5.960106873,6.909902013,4.376570097,4.659499749,3.298067417,5.450433156
Armenia,ARM,GDPgr,8.3,12.6,5.800000001,-7.199999999,7.599999999,5.2,7.500000002,0.2,3.199999999,3.600000001,3.3,7.200000001,4.699999999,2.2,-14.1,6.9,13.7,13.2,13.9,10.5,14,13.2,9.599999999,5.900000003
Armenia,ARM,Oilrents,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
